"2007-01-05","04:00","CHF","Foreign Currency Reserves","L","45.6B","","45.6B","","144","1","1","42187"
"2007-01-05","04:00","GBP","Halifax HPI m/m","H","-1.0%","1.0%","1.6%","1.7%","143","3","1","9357"
"2007-01-05","05:00","EUR","Retail PMI","L","52.1","","53.7","","142","1","1","43575"
"2007-01-05","06:00","EUR","Consumer Confidence","L","-6","-7","-7","","142","1","1","11250"
"2007-01-05","06:00","EUR","PPI m/m","L","0.0%","0.1%","0.0%","","142","1","1","3269"
"2007-01-05","06:00","EUR","Retail Sales m/m","L","0.5%","0.5%","0.3%","","142","1","1","3270"
"2007-01-05","06:00","EUR","Unemployment Rate","L","7.6%","7.6%","7.7%","","142","1","1","3271"
"2007-01-05","08:00","CAD","Employment Change","H","62.0K","17.0K","22.0K","","141","3","1","3247"
"2007-01-05","08:00","CAD","Unemployment Rate","H","6.1%","6.3%","6.3%","","141","3","1","3248"
"2007-01-05","09:30","USD","Average Hourly Earnings m/m","M","0.5%","0.3%","0.3%","0.2%","140","2","1","3251"
"2007-01-05","09:30","USD","Non-Farm Employment Change","H","167K","115K","132K","","140","3","1","3249"
"2007-01-05","09:30","USD","Unemployment Rate","H","4.5%","4.5%","4.5%","","140","3","1","3250"
"2007-01-05","11:00","CAD","Ivey PMI","H","49.4","50.5","52.8","","141","3","1","3253"
"2007-01-05","11:30","USD","Natural Gas Storage","L","-47B","-60B","-46B","","140","1","1","8326"
"2007-01-05","14:45","USD","Fed Chairman Bernanke Speaks","M","","","","","140","2","1","3252"
"2007-01-07","00:01","JPY","Bank Holiday <<AllDay>>","L","","","","","145","1","1","3297"
"2007-01-07","18:30","AUD","AIG Construction Index","L","52.1","","47.6","","146","1","1","10199"
"2007-01-07","20:30","AUD","ANZ Job Advertisements m/m","M","12.1%","","-3.8%","","146","2","1","19238"
"2007-01-07","20:30","AUD","Building Approvals m/m","H","4.1%","2.0%","-6.8%","-7.4%","146","3","1","9704"
"2007-01-08","02:45","CHF","Unemployment Rate","L","3.1%","3.1%","3.1%","","144","1","1","3275"
"2007-01-08","03:00","EUR","German Retail Sales m/m","M","-0.3%","0.6%","-0.5%","-0.2%","142","2","1","3276"
"2007-01-08","07:00","EUR","German Factory Orders m/m","M","1.5%","1.5%","-0.7%","-1.1%","142","2","1","3277"
"2007-01-08","11:30","CAD","BOC Business Outlook Survey","H","","","","","141","3","1","3318"
"2007-01-08","13:45","USD","FOMC Member Kohn Speaks","M","","","","","140","2","1","3298"
"2007-01-08","16:00","USD","Consumer Credit m/m","L","12.3B","5.4B","-1.3B","-1.2B","140","1","1","3278"
"2007-01-08","20:01","GBP","BRC Retail Sales Monitor y/y","M","2.5%","","0.5%","","143","2","1","3316"
"2007-01-08","20:30","AUD","Retail Sales m/m","H","0.2%","0.3%","0.8%","","146","3","1","3299"
"2007-01-09","03:00","EUR","German Trade Balance","L","19.3B","15.3B","17.2B","","142","1","1","3279"
"2007-01-09","07:00","EUR","German Industrial Production m/m","M","1.8%","1.0%","-0.8%","-1.4%","142","2","1","3280"
"2007-01-09","09:15","CAD","Housing Starts","H","212K","230K","229K","225K","141","3","1","3281"
"2007-01-09","11:00","USD","IBD/TIPP Economic Optimism","L","53.7","53.7","53.5","","140","1","1","9930"
"2007-01-09","19:30","AUD","Westpac Consumer Sentiment","L","7.3%","","11.8%","","146","1","1","3300"
"2007-01-09","20:01","GBP","Nationwide Consumer Confidence","L","83","89","89","","143","1","1","3301"
"2007-01-09","20:30","AUD","Trade Balance","M","-0.84B","-0.73B","-1.51","-1.26B","146","2","1","3302"
"2007-01-10","03:00","EUR","German WPI m/m","L","0.0%","0.2%","0.1%","","142","1","1","3311"
"2007-01-10","03:45","EUR","French Gov Budget Balance","L","-54.9B","","-48.2B","","142","1","1","12198"
"2007-01-10","03:45","EUR","French Industrial Production m/m","M","-0.2%","0.7%","0.0%","-0.1%","142","2","1","3312"
"2007-01-10","03:45","EUR","French Trade Balance","L","-2.8B","-2.3B","-2.8B","-2.7B","142","1","1","9159"
"2007-01-10","05:30","GBP","Trade Balance","M","-7.2B","-6.45B","-6.33B","","143","2","1","3313"
"2007-01-10","06:30","GBP","BRC Shop Price Index y/y","L","2.3%","","1.8%","","143","1","1","9307"
"2007-01-10","09:30","CAD","Building Permits m/m","M","3.0%","2.0%","7.8%","6.1%","141","2","1","9705"
"2007-01-10","09:30","CAD","NHPI m/m","L","0.5%","0.3%","0.2%","","141","1","1","3284"
"2007-01-10","09:30","CAD","Trade Balance","M","4.7B","3.7B","3.8B","","141","2","1","3283"
"2007-01-10","09:30","USD","Trade Balance","H","-58.2B","-60.0B","-58.9B","","140","3","1","3282"
"2007-01-10","11:00","USD","Wholesale Inventories m/m","L","1.3%","0.4%","0.4%","0.8%","140","1","1","3314"
